SVE;Pé de Burrinho;Chamelea Gallina
SWA;Sargo Legitimo;Diplodus Sargus
SWM;Pilado;Polybius henslowi
SWO;Espadarte;Xiphias gladius
SYT;Pata roxa denisa;Scyliorhinus stellaris
TGS;Camarão de Quarteira;Penaeus Kerathurus
THF;Barbudos nep;Polynemidae
THS;Azevias nep;Microchirus spp.
THS;Azevias nep;Microchirus spp.
TIP;Camarão tigre verde;Penaeus semisulcatus
TMP;Bodião verde;Thalassoma pavo
TOE;Tremelgas Nep;Torpedo Spp.
TOM;Tomecode;Microgadus Tomcod
TOP;Marlonga negra;Dissostichus eleginoides
TOX;Linguas de Cão Nep;Cynoglossus spp
TRE;Xareus nep;Caranx spp.
TRG;Cangulo;Balistes carolinensis
TRI;Cangulos nep;Balistes spp.
TRR;Truta Arco-Iris;Oncorhynchus Mykiss
TRS;Truta marisca;Salmo trutta
TRZ;Encharéu;Pseudocaranx dentex
TSD;Savelha;Alosa Fallax
TSR;Truta Comum;Salmo truta fario
TUR;Pregado;Scophthalmus Maximus
TUS;Atuns nep;Thunnus spp.
ULF;Lagarto Da Guine;Aulopus Filamentosus
ULO;Ameijoa Branca;Spisula Solida
URA;Cabeçudos nep;Uranoscopus spp.
URM;Ouriço do Mar;Paracentrotus Lividus
USB;Bodião Reticulado;Labrus Bergylta
USK;Bolota;Brosme Brosme
VEV;Pé de burro;Venus verrucosa
VLO;Lagostas Nep;Palinuridae
VNA;Amêijoa cão;Venerupis aurea
VNR;Amêijoa vermelha;Venerupis rhomboides
WAH;Serra da India;Acanthocybium Solandri
WEG;Peixe aranha maior;Trachinus draco
WEX;Peixes Aranha Nep;Trachinus Spp.
WHB;Verdinho;Micromesistius Poutassou
WHG;Badejo;Merlangius Merlangus
WHM;Espadim Branco do Atlantico;Tetrapturus albidus
WIT;Solhao;Glyptocephalus Cynoglossus
WKP;Camarão marfil;Penaeus latisulcatus
WOR;Poliquetas Diversos;Polychaeta
WRA;Bodião;Centrolabrus Exoletus
WRA;Bodião Dente de Cão;Bodianus Scrofa
WRA;Bodião Verde;Centrolabrus trutta
WRF;Cherne Legítimo;Polyprion Americanus
WSH;Tubarão de São Tomé;Carcharodon carcharias
X;Figados;Figados
X;Ovas;Ovas
XXX;Oleos;Oleos
XXX;Guanos;Xxx
XXX;Farinhas;Xxx
YEL;Solha do Mar do Norte;Limanda Ferruginea
YFT;Atum albacora;Thunnus albacares
YLL;Cavaco;Scyllarides Latus
YOI;Lingua-de-cão;Cynoglossus canariensis
YTC;Charuteiro Azeite;Seriola Lalandi
